author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u1924,875,875,875,,Twitter_User,,u1924,
u1925,961,961,961,,Twitter_User,,u1925,
u1926,0,0,0,,Twitter_User,,u1926,
u1927,24,24,24,,Twitter_User,,u1927,
u1928,4,4,4,,Twitter_User,,u1928,
u1929,0,72,4.09,11.31,Twitter_User,,u1929,
u193,2995,2995,2995,,Twitter_User,,u193,
u1930,0,0,0,,Twitter_User,,u1930,
u1931,20,20,20,,Twitter_User,,u1931,
u1932,17,17,17,,Twitter_User,,u1932,
u1933,1,1,1,0,Twitter_User,,u1933,
u1934,0,0,0,,Twitter_User,,u1934,
u1935,0,33,1.78,6.49,Twitter_User,,u1935,
u1936,2888,2888,2888,,Twitter_User,,u1936,
u1937,0,0,0,0,Twitter_User,,u1937,
u1938,0,0,0,,Twitter_User,,u1938,
u1939,0,0,0,,Twitter_User,,u1939,
u194,999,999,999,,Twitter_User,,u194,
u1940,0,0,0,,Twitter_User,,u1940,
u1941,0,0,0,,Twitter_User,,u1941,
u1942,0,25,8.33,14.43,Twitter_User,,u1942,
u1943,8,8,8,,Twitter_User,,u1943,
u1944,0,2888,577.8,1291.44,Twitter_User,,u1944,
u1945,0,0,0,,Twitter_User,,u1945,
u1946,0,0,0,,Twitter_User,,u1946,
u1947,0,0,0,,Twitter_User,,u1947,
u1948,0,0,0,,Twitter_User,,u1948,
u1949,28,152,80,64.37,Twitter_User,,u1949,
u195,2095,2095,2095,,Twitter_User,,u195,
u1950,186,186,186,,Twitter_User,,u1950,
u1951,219,219,219,,Twitter_User,,u1951,
u1952,961,961,961,,Twitter_User,,u1952,
u1953,0,0,0,,Twitter_User,,u1953,
u1954,728,728,728,,Twitter_User,,u1954,
u1955,0,0,0,,Twitter_User,,u1955,
u1956,3263,3263,3263,,Twitter_User,,u1956,
u1957,0,0,0,,Twitter_User,,u1957,
u1958,0,0,0,,Twitter_User,,u1958,
u1959,25,29,27,2.83,Twitter_User,,u1959,
